Class,Proportion [%]
John,1.52
David,1.37
Michael,1.06
Richard,0.8
Thomas,0.72
Robert,0.72
William,0.61
James,0.61
Daniel,0.61
Peter,0.57
George,0.49
Jim,0.49
Mark,0.49
Alexander,0.46
Stephen,0.46
Charles,0.42
Scott,0.34
Anthony,0.3
Stefan,0.3
Andrei,0.3
Martin,0.3
Henry,0.3
Igor,0.27
Paul,0.27
Sergei,0.27
Joseph,0.27
Bernard,0.27
Jeff,0.27
Eric,0.27
Joe,0.27
Jeffrey,0.27
Dan,0.27
Edward,0.27
Wei,0.23
Bruce,0.23
Alan,0.23
Vladimir,0.23
Frank,0.23
Carl,0.23
Tom,0.23
Donald,0.23
Patrick,0.23
Gary,0.23
Steven,0.23
Alberto,0.23
Bill,0.23
Li,0.19
Hua,0.19
Leonid,0.19
Georg,0.19
Philip,0.19
Andrew,0.19
Jonathan,0.19
Marc,0.19
Christian,0.19
Jerry,0.19
Ken,0.19
Mikhail,0.19
Jack,0.19
Brian,0.19
Christopher,0.15
Ronald,0.15
Dmitry,0.15
Barry,0.15
Wolfgang,0.15
Sam,0.15
Ben,0.15
Stanley,0.15
Anand,0.15
Min,0.15
Andreas,0.15
Pavel,0.15
Larry,0.15
Kenneth,0.15
Ivan,0.15
Todd,0.15
Carlos,0.15
Timothy,0.15
Steve,0.15
Alain,0.15
Vincent,0.15
Mike,0.15
Long,0.15
Stewart,0.15
Ryan,0.11
Herbert,0.11
Alfred,0.11
Roman,0.11
Fan,0.11
Alejandro,0.11
Marina,0.11
Lili,0.11
Jun,0.11
Jorge,0.11
Brad,0.11
Arthur,0.11
Liping,0.11
Vinod,0.11
Jianming,0.11
Ravi,0.11
Feng,0.11
Eduardo,0.11
Jianhua,0.11
Viktor,0.11
Ping,0.11
Zhenhua,0.11
Yuri,0.11
Guangming,0.11
Gordon,0.11
Vadim,0.11
Jimmy,0.11
Leonard,0.11
Ning,0.11
Jian,0.11
Julia,0.11
Elizabeth,0.11
Lawrence,0.11
Chris,0.11
Tony,0.11
Sergey,0.11
Alex,0.11
Hong,0.11
Gang,0.11
Bob,0.11
Jianping,0.11
Jay,0.11
Alexandra,0.11
Arvind,0.11
Sebastian,0.11
Hans,0.11
Xiangdong,0.11
Eugene,0.11
Jane,0.11
Karl,0.11
Mitchell,0.11
Ron,0.11
Howard,0.11
Amy,0.11
Lei,0.11
Sergio,0.08
Alexandre,0.08
Pyotr,0.08
Douglas,0.08
Andre,0.08
Ali,0.08
Theodore,0.08
Matthias,0.08
Jason,0.08
Alfredo,0.08
Ruben,0.08
Wen,0.08
Rocco,0.08
Oleg,0.08
Joao,0.08
Miguel,0.08
Cameron,0.08
Antti,0.08
Luca,0.08
Ted,0.08
Yong,0.08
Yan,0.08
Xin,0.08
Katharina,0.08
Yonghua,0.08
Ying,0.08
Tyler,0.08
Carsten,0.08
Terry,0.08
Xiaodong,0.08
Tao,0.08
Don,0.08
Konstantin,0.08
Farhad,0.08
Josh,0.08
Evan,0.08
Anatoly,0.08
Raj,0.08
Anne,0.08
Paolo,0.08
Ajay,0.08
Mathias,0.08
Abhay,0.08
Massimo,0.08
Neil,0.08
Jon,0.08
Yin,0.08
Simon,0.08
Denis,0.08
Harsh,0.08
Michal,0.08
Samuel,0.08
Angela,0.08
Dennis,0.08
Yunfeng,0.08
Xiaoping,0.08
Yiwen,0.08
Bin,0.08
Ashwin,0.08
Ralph,0.08
Jean,0.08
Louis,0.08
