Class,Proportion [%]
Li,1.67
Wang,1.52
Chen,1.33
Zhang,1.25
Wu,0.95
Xu,0.72
Huang,0.57
Lee,0.57
Lin,0.57
Liu,0.53
Kim,0.45
Pritzker,0.42
Yang,0.34
Yu,0.34
Johnson,0.34
Zhao,0.34
Lu,0.34
Zhou,0.3
Sun,0.3
Zhu,0.3
Tsai,0.3
Xie,0.3
Liang,0.3
Jiang,0.3
Tang,0.27
He,0.27
Chang,0.27
Smith,0.27
Ye,0.27
Kwok,0.27
Lauder,0.23
Reddy,0.23
Cheng,0.23
Wei,0.23
Del Vecchio,0.23
Mars,0.23
Shen,0.23
MacMillan,0.23
Jain,0.19
Sy,0.19
Ma,0.19
Hu,0.19
Tan,0.19
Walton,0.19
Pan,0.19
Burman,0.19
Gao,0.19
Bajaj,0.19
Zeng,0.19
Braun,0.19
Ke,0.19
Fisher,0.19
Mittal,0.19
Cai,0.19
Cao,0.19
Davis,0.19
Hong,0.15
Persson,0.15
Chu,0.15
Cohen,0.15
Kwek,0.15
Herlin,0.15
Parekh,0.15
Herz,0.15
Agarwal,0.15
Ruan,0.15
Green,0.15
Bass,0.15
Jin,0.15
Wilson,0.15
Otto,0.15
Yuan,0.15
Wong,0.15
Lau,0.15
Lerner,0.15
Shi,0.15
Lai,0.15
Tung,0.15
Ding,0.15
Koch,0.15
Benetton,0.15
Gupta,0.15
Miller,0.15
Zhong,0.15
Tisch,0.15
Kwee,0.15
Mehta,0.15
Xue,0.15
Koo,0.15
James,0.11
Yao,0.11
Chung,0.11
Sahenk,0.11
Dong,0.11
Su,0.11
Lam,0.11
Mansour,0.11
Wertheim,0.11
Hagen,0.11
Fertitta,0.11
Khan,0.11
Braun-Luedicke,0.11
Shao,0.11
Feffer,0.11
Reyes,0.11
Viessmann,0.11
Rotenberg,0.11
Cho,0.11
Marinho,0.11
Stryker,0.11
Hui,0.11
Qian,0.11
Qiu,0.11
Cook,0.11
Meijer,0.11
Yan,0.11
Prada,0.11
Lim,0.11
Qi,0.11
Kristiansen,0.11
Miao,0.11
Oetker,0.11
Godrej,0.11
Ofer,0.11
Zekelman,0.11
Du,0.11
Deng,0.11
Moreira Salles,0.11
Zheng,0.11
Alfond,0.11
Munjal,0.11
Mao,0.11
Ziff,0.11
Yi,0.11
Fu,0.11
Hunt,0.11
Del Pino,0.11
Ho,0.11
Azrieli,0.11
Goenka,0.11
Hariri,0.11
Wertheimer,0.11
Haji-Ioannou,0.11
Butt,0.11
Rinehart,0.11
Douglas,0.11
Kamprad,0.11
Rausing,0.11
Juneja,0.08
Mistry,0.08
Ng,0.08
Gu,0.08
Zong,0.08
Sawiris,0.08
Toennies,0.08
Rales,0.08
Stern,0.08
Nuwal,0.08
Clark,0.08
Steinbrenner,0.08
Sands,0.08
Patel,0.08
Heine,0.08
Giuliani,0.08
Bukhman,0.08
Lohia,0.08
Song,0.08
Rao,0.08
Wynn,0.08
Chiaravanont,0.08
Tschira,0.08
Kulczyk,0.08
Fang,0.08
Arai,0.08
Brown,0.08
Irving,0.08
Schmidheiny,0.08
Tran,0.08
Lal,0.08
Maggi,0.08
Al Thani,0.08
Palmer,0.08
Arison,0.08
Bhartia,0.08
Collison,0.08
Kothari,0.08
Hang,0.08
Ren,0.08
Xiong,0.08
Taylor,0.08
Ishbia,0.08
Tanoko,0.08
Reimann-Andersen,0.08
Bansal,0.08
Wesjohann,0.08
Erdemoglu,0.08
Wanek,0.08
Weber,0.08
Resnick,0.08
Chambers,0.08
Haslam,0.08
Leibinger,0.08
Martin,0.08
Mariwala,0.08
Coates,0.08
Snyder,0.08
Shoen,0.08
Saputo,0.08
Feng,0.08
Williams,0.08
Kurtz,0.08
Pastor,0.08
Blocher,0.08
Cathy,0.08
Erikawa,0.08
Tangkaravakoon,0.08
Angelini Rossi,0.08
Dai,0.08
Reuben,0.08
Springer,0.08
Bulgari,0.08
Desai,0.08
Austin,0.08
Dorrance,0.08
Eczacibasi,0.08
Gores,0.08
Wyss,0.08
Surana,0.08
Dhingra,0.08
Lewis,0.08
Shaimiev,0.08
Doris,0.08
Kuok,0.08
Hartono,0.08
Caprotti,0.08
Hiranandani,0.08
Struengmann,0.08
Rubin,0.08
Chan,0.08
Rocca,0.08
Pratt,0.08
Cherng,0.08
Perfetti,0.08
Nahmad,0.08
Olsson,0.08
Bai,0.08
Ellison,0.08
Paul,0.08
Pohl,0.08
Livingstone,0.08
Langer,0.08
Winklevoss,0.08
Vembu,0.08
Roig,0.08
Kamath,0.08
Birkenstock,0.08
Bouygues,0.08
Stephens,0.08
Saadé,0.08
Oberwelland,0.08
Gross,0.08
Desmond,0.08
Packer,0.08
Jacobs,0.08
Hao,0.08
Santo Domingo,0.08
Pang,0.08
Garavoglia,0.08
D'Ieteren,0.08
Damani,0.08
Qin,0.08
Schnabel,0.08
Batista,0.08
Schwartz,0.08
Baker,0.08
Latsis,0.08
Tyson,0.08
Wirtgen,0.08
Besnier,0.08
Nguyen,0.08
Adani,0.08
Jones,0.08
Ni,0.08
Leong,0.08
Kroenke,0.08
Kao,0.08
Knauf,0.08
Guo,0.08
Cargill,0.08
Mori,0.08
Mikati,0.08
Ozmen,0.08
Gutseriev,0.08
Meister,0.08
Andresen,0.08
Bawri,0.08
Morris,0.08
Bennett,0.08
Lomakin,0.08
Raheja,0.08
Buffett,0.08
Roberts,0.08
Singh,0.08
Dassault,0.08
Wood,0.08
Mueller,0.08
Hindawi,0.08
Paval,0.08
Ford,0.08
Marcus,0.08
Golub,0.08
Hua,0.08
Perez,0.08
Mahindra,0.08
Duff,0.08
Squinzi,0.08
Bertarelli,0.08
Domuschiev,0.08
Luo,0.08
Sixt,0.08
Wan,0.08
Beaufour,0.08
Uihlein,0.08
Malone,0.08
Lei,0.08
Xia,0.08
Wilks,0.08
Haub,0.08
Tseng,0.08
Riberas Mera,0.08
Kazanci,0.08
Xiang,0.08
Leininger,0.04
Palatchi,0.04
Bikhchandani,0.04
Harvey,0.04
Biondi,0.04
Goff,0.04
Rogers,0.04
Grendene Bartelle,0.04
Liautaud,0.04
Pumpyansky,0.04
Luckey,0.04
Adams,0.04
Jackman,0.04
Adderley,0.04
Kanjanapas,0.04
Maezawa,0.04
Hennick,0.04
Saville,0.04
Kibar,0.04
Kucuk,0.04
Meng,0.04
Zucker,0.04
Alexander,0.04
Lê-Quôc,0.04
Gerling,0.04
Heinecke,0.04
Mateus,0.04
Andreessen,0.04
Michelson,0.04
Adams Strunk,0.04
Yoshida,0.04
Mindus,0.04
Mol,0.04
Wagner,0.04
Viswanathan,0.04
Munot,0.04
van der Does,0.04
Valani,0.04
Trefler,0.04
Oberwelland-Height,0.04
France,0.04
Thompson,0.04
Ozdemir,0.04
Sze,0.04
Péladeau,0.04
Perelman,0.04
Pomel,0.04
Ratanarak,0.04
Saraf,0.04
Schick,0.04
Sutantio,0.04
Suh,0.04
Shibulal,0.04
Sedykh,0.04
Tran Dinh,0.04
Gabelli,0.04
Bulgheroni,0.04
Chandramogan,0.04
Chaudhary,0.04
Fukushima,0.04
Feuillet,0.04
Elkann,0.04
Dunleavy,0.04
Dospiva,0.04
Conrad,0.04
Coombs,0.04
DeSantis,0.04
de Mol,0.04
Arvedi,0.04
Diao,0.04
Duggan,0.04
