Class,Proportion [%]
Wang Yanqing & family,0.08
Li Li,0.08
Kim Chang-soo,0.04
Kim Jung-min,0.04
Kim Jung-youn,0.04
Mustafa Kucuk,0.04
Christopher Kwok,0.04
Edward Kwok,0.04
Lai Jianfa,0.04
Lau Cho Kun,0.04
Josef Boquoi & family,0.04
Lei Jufang,0.04
James Leininger,0.04
Xuhui Li,0.04
Jimmy John Liautaud,0.04
Lin Lairong & family,0.04
Lu Di,0.04
Palmer Luckey,0.04
Duncan MacMillan,0.04
Yusaku Maezawa,0.04
Alexis Lê-Quôc,0.04
Kommer Damen,0.04
Carl DeSantis,0.04
Marek Dospiva,0.04
Keith Dunleavy & family,0.04
John Elkann,0.04
Francois Feuillet & family,0.04
Yasuhiro Fukushima,0.04
Mario Gabelli,0.04
Rolf Gerling,0.04
Osman Kibar,0.04
Alexandre Grendene Bartelle,0.04
Gerry Harvey,0.04
He Zhaoxi,0.04
William Heinecke,0.04
Jay Hennick,0.04
Ilkka Herlin,0.04
Asok Kumar Hiranandani,0.04
Hal Jackman,0.04
Pavan Jain,0.04
Keeree Kanjanapas,0.04
John Goff,0.04
Stephen Winn,0.04
Ian Wood & family,0.04
Wu Lanlan & family,0.04
Xu Bingzhong,0.04
Yang Xuegang,0.04
Vladimir Yevtushenkov,0.04
David Zalik,0.04
Zhang Xiaojuan,0.04
Zheng Xiaodong,0.04
Ilson Mateus & family,0.04
Noubar Afeyan,0.04
Syed Mokhtar AlBukhary,0.04
"Herbert Allen, Jr. & family",0.04
Vasily Anisimov,0.04
Clifford Asness,0.04
Louis Bacon,0.04
Bai Baokun,0.04
Alex Birkenstock,0.04
Christian Birkenstock,0.04
Zhong Ruonong & family,0.04
Meng Qingshan & family,0.04
Alberto Palatchi,0.04
Mrudula Parekh,0.04
Dragos Paval,0.04
Jorge Perez,0.04
Dmitry Pumpyansky,0.04
Jinsheng Ren & family,0.04
Brian Roberts,0.04
"Joe Rogers, Jr.",0.04
Tom Werner,0.04
Paul Saville,0.04
Ivan Savvidis & family,0.04
Keiichi Shibahara,0.04
Rajju Shroff,0.04
Sun Huaiqing & family,0.04
Alain Taravella,0.04
Jonathan Tisch,0.04
Kenneth Tuchman,0.04
Wang Chou-hsiong,0.04
Wang Minwen,0.04
Ruan Shuilong & family,0.04
Yintai Jiang & family,0.04
Lei Jin,0.04
Jin Lei & family,0.04
Valentin Kipyatkov,0.04
Koo Kwang-mo,0.04
George Kurtz,0.04
Joe Lacob,0.04
Joe Lau,0.04
Louise Lindh,0.04
Chen Kaichen,0.04
Joao Roberto Marinho,0.04
Jose Roberto Marinho,0.04
Roberto Irineu Marinho,0.04
Gary Michelson,0.04
Robert G. Miller,0.04
David Mindus,0.04
Adriaan Mol,0.04
Mofatraj Munot,0.04
Ezra Nahmad,0.04
Luo Yangyong & family,0.04
Masaaki Arai,0.04
Sabrina Benetton,0.04
Sanjeev Bikhchandani,0.04
O. Francis Biondi,0.04
Alejandro Bulgheroni,0.04
R.G. Chandramogan,0.04
Binod Chaudhary,0.04
Parker Conrad,0.04
Tim Cook,0.04
Wei Huang,0.04
John de Mol,0.04
D. Leopoldo Del Pino,0.04
Diao Zhizhong,0.04
Robert Duggan,0.04
James France,0.04
Phillip Frost,0.04
Jayme Garfinkel & family,0.04
Christopher Goldsbury,0.04
Yusuf Hamied,0.04
Brian Higgins,0.04
Mark Coombs,0.04
Martin Viessmann,0.04
Nikil Viswanathan,0.04
Todd Wagner,0.04
Evan Williams,0.04
Kie Chie Wong,0.04
Thomas Wu,0.04
Wu Yingming,0.04
Amy Wyss,0.04
Yan Zhi,0.04
Satyanarayan Nuwal,0.04
Alan Zekelman,0.04
Zhang Li,0.04
Amy Adams Strunk,0.04
Marc Andreessen,0.04
Giovanni Arvedi,0.04
Lesley Bamberger,0.04
Bang Si-hyuk,0.04
David Booth,0.04
Jim Breyer,0.04
Yoshiaki Yoshida,0.04
Maike Oberwelland-Height,0.04
Nihat Ozdemir,0.04
Benjamin Zhengmin Pan & family,0.04
Pierre Karl Péladeau,0.04
Ronald Perelman,0.04
Olivier Pomel,0.04
Krit Ratanarak,0.04
Vinod Saraf,0.04
Karin Schick,0.04
Pieter van der Does,0.04
Genhuo Shao,0.04
Shen Xiqiang & family,0.04
S.D. Shibulal,0.04
Suh Kyung-bae,0.04
Bambang Sutantio,0.04
Sze Man Bok,0.04
Jim Thompson,0.04
Tran Dinh Long,0.04
Alan Trefler,0.04
Riaz Valani,0.04
Anatoly Sedykh,0.04
Ahmet Calik,0.04
Safra Catz,0.04
Chang Kuo-Hua,0.04
Chu Jian,0.04
Sandor Csanyi,0.04
Ana Lucia de Mattos Barretto Villela,0.04
Federico De Nora,0.04
Bharat Desai,0.04
Mohammed Dewji,0.04
Cai Huabo,0.04
Fu Mingkang & family,0.04
Alan Gerry,0.04
Philippe Ginestet & family,0.04
G. Gnanalingam,0.04
Esther Grether,0.04
Wei Gu,0.04
Patrick Hanrahan,0.04
Kenneth Hao,0.04
Jaroslav Hascak & family,0.04
Egon Durban,0.04
Steven Meng Yang & family,0.04
Ye Fan & family,0.04
Yi Dasheng,0.04
Yu Lili,0.04
Zeng Kaitian,0.04
Zhang Xuexin & family,0.04
Yubai Zhang,0.04
Fredrik Österberg,0.04
Shiv Kishan Agrawal,0.04
Saket Burman,0.04
Hamdi Akin & family,0.04
Nerio Alessandri,0.04
Alexandra Andresen,0.04
Katharina Andresen,0.04
Patricia Angelini Rossi,0.04
Mori Arkin,0.04
Barbara Benetton,0.04
Angela Bennett,0.04
Zadik Bino & family,0.04
Paolo Bulgari,0.04
Aziz Akhannouch & family,0.04
Liu Xiucai & family,0.04
Lu Zhongfang,0.04
Lu Zongjun,0.04
Youssef Mansour,0.04
Bruce Mathieson,0.04
Romano Minozzi,0.04
Greg Mondre,0.04
Mario Moretti Polegato & family,0.04
Robert Mouawad,0.04
He Zhenggang,0.04
John Ocampo,0.04
Stefan Olsson,0.04
Rubens Ometto Silveira Mello,0.04
Anne Marie See Pastor,0.04
George Pastor,0.04
Nelson Peltz,0.04
David Penaloza Alanis,0.04
Karl-Johan Persson,0.04
Mike Repole,0.04
Jerry Moyes & family,0.04
Niranjan Hiranandani,0.04
Ho Hung Anh,0.04
Archie Hwang,0.04
Peter Jackson,0.04
Stephen Jarislowsky,0.04
Rajeev Juneja,0.04
Ramesh Juneja,0.04
Ke Xiping & family,0.04
Kim Jun-ki,0.04
Scott Lin,0.04
Jim Koch,0.04
Raj Kumar,0.04
Spiro Latsis & family,0.04
Peter Leibinger,0.04
Regine Leibinger,0.04
Nicola Leibinger-Kammueller,0.04
Li Jianli,0.04
Li Jiaquan,0.04
Li Rucheng,0.04
Li Shui-po,0.04
Sidney Kimmel,0.04
Timothy Headington,0.04
Ilona Herlin,0.04
David Hoffmann,0.04
Stanley Hubbard,0.04
Hui Lin Chit,0.04
Tianjiang Jia & family,0.04
Zhaobai Jiang,0.04
Sergei Katsiev,0.04
Kim Jae-young,0.04
George Yancopoulos,0.04
William Koch,0.04
Pyotr Kondrashev,0.04
Eiichi Kuriwada,0.04
Robert Langer,0.04
Anthony Langley,0.04
Marianna Latsis & family,0.04
Lee Yeow Seng,0.04
Li Sze Lim,0.04
Li Wa,0.04
Randal J. Kirk,0.04
Leslie Alexander,0.04
Chen Tianshi,0.04
Chen Yung-tai,0.04
Chey Tae-won,0.04
Ivan Chrenko,0.04
Robert Clark,0.04
